Varste si grupe de varsta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
30-34 ani, Constanta, Anul 2013, Numar persoane, 48
30-34 ani, Constanta, Anul 2014, Numar persoane, 69
30-34 ani, Constanta, Anul 2015, Numar persoane, 75
30-34 ani, Constanta, Anul 2016, Numar persoane, 98
30-34 ani, Constanta, Anul 2017, Numar persoane, 100
30-34 ani, Constanta, Anul 2018, Numar persoane, 103
30-34 ani, Constanta, Anul 2019, Numar persoane, 96
30-34 ani, Constanta, Anul 2020, Numar persoane, 80
30-34 ani, Constanta, Anul 2021, Numar persoane, 140
30-34 ani, Constanta, Anul 2022, Numar persoane, 168
30-34 ani, Galati, Anul 1992, Numar persoane, 20
30-34 ani, Galati, Anul 1993, Numar persoane, 10
30-34 ani, Galati, Anul 1994, Numar persoane, 16
30-34 ani, Galati, Anul 1995, Numar persoane, 37
30-34 ani, Galati, Anul 1996, Numar persoane, 20
30-34 ani, Galati, Anul 1997, Numar persoane, 25
30-34 ani, Galati, Anul 1998, Numar persoane, 28
30-34 ani, Galati, Anul 1999, Numar persoane, 22
30-34 ani, Galati, Anul 2000, Numar persoane, 22
30-34 ani, Galati, Anul 2001, Numar persoane, 34
30-34 ani, Galati, Anul 2002, Numar persoane, 36
30-34 ani, Galati, Anul 2003, Numar persoane, 48
30-34 ani, Galati, Anul 2004, Numar persoane, 79
30-34 ani, Galati, Anul 2005, Numar persoane, 86
30-34 ani, Galati, Anul 2006, Numar persoane, 120
30-34 ani, Galati, Anul 2007, Numar persoane, 46
30-34 ani, Galati, Anul 2008, Numar persoane, 64
30-34 ani, Galati, Anul 2009, Numar persoane, 60
30-34 ani, Galati, Anul 2010, Numar persoane, 48
30-34 ani, Galati, Anul 2011, Numar persoane, 53
30-34 ani, Galati, Anul 2012, Numar persoane, 45
30-34 ani, Galati, Anul 2013, Numar persoane, 49
30-34 ani, Galati, Anul 2014, Numar persoane, 55
30-34 ani, Galati, Anul 2015, Numar persoane, 87
30-34 ani, Galati, Anul 2016, Numar persoane, 98
30-34 ani, Galati, Anul 2017, Numar persoane, 88
30-34 ani, Galati, Anul 2018, Numar persoane, 128
30-34 ani, Galati, Anul 2019, Numar persoane, 116
30-34 ani, Galati, Anul 2020, Numar persoane, 118
30-34 ani, Galati, Anul 2021, Numar persoane, 174
30-34 ani, Galati, Anul 2022, Numar persoane, 269
30-34 ani, Tulcea, Anul 1992, Numar persoane, 11
30-34 ani, Tulcea, Anul 1993, Numar persoane, 5
30-34 ani, Tulcea, Anul 1994, Numar persoane, 3
30-34 ani, Tulcea, Anul 1995, Numar persoane, 8
30-34 ani, Tulcea, Anul 1996, Numar persoane, 3
30-34 ani, Tulcea, Anul 1997, Numar persoane, 4
30-34 ani, Tulcea, Anul 1998, Numar persoane, 1
30-34 ani, Tulcea, Anul 1999, Numar persoane, 7
30-34 ani, Tulcea, Anul 2000, Numar persoane, 11
30-34 ani, Tulcea, Anul 2001, Numar persoane, 13
30-34 ani, Tulcea, Anul 2002, Numar persoane, 8
30-34 ani, Tulcea, Anul 2003, Numar persoane, 10
30-34 ani, Tulcea, Anul 2004, Numar persoane, 10
30-34 ani, Tulcea, Anul 2005, Numar persoane, 5
30-34 ani, Tulcea, Anul 2006, Numar persoane, 7
30-34 ani, Tulcea, Anul 2007, Numar persoane, 6
30-34 ani, Tulcea, Anul 2008, Numar persoane, 15
30-34 ani, Tulcea, Anul 2009, Numar persoane, 13
30-34 ani, Tulcea, Anul 2010, Numar persoane, 11
30-34 ani, Tulcea, Anul 2011, Numar persoane, 10
30-34 ani, Tulcea, Anul 2012, Numar persoane, 12
30-34 ani, Tulcea, Anul 2013, Numar persoane, 21
30-34 ani, Tulcea, Anul 2014, Numar persoane, 24
30-34 ani, Tulcea, Anul 2015, Numar persoane, 21
30-34 ani, Tulcea, Anul 2016, Numar persoane, 36
30-34 ani, Tulcea, Anul 2017, Numar persoane, 33
30-34 ani, Tulcea, Anul 2018, Numar persoane, 39
30-34 ani, Tulcea, Anul 2019, Numar persoane, 45
30-34 ani, Tulcea, Anul 2020, Numar persoane, 31
30-34 ani, Tulcea, Anul 2021, Numar persoane, 48
30-34 ani, Tulcea, Anul 2022, Numar persoane, 47
30-34 ani, Vrancea, Anul 1992, Numar persoane, 2
30-34 ani, Vrancea, Anul 1993, Numar persoane, 10
30-34 ani, Vrancea, Anul 1994, Numar persoane, 6
30-34 ani, Vrancea, Anul 1995, Numar persoane, 24
30-34 ani, Vrancea, Anul 1996, Numar persoane, 16
30-34 ani, Vrancea, Anul 1997, Numar persoane, 31
30-34 ani, Vrancea, Anul 1998, Numar persoane, 26
30-34 ani, Vrancea, Anul 1999, Numar persoane, 22
30-34 ani, Vrancea, Anul 2000, Numar persoane, 38
30-34 ani, Vrancea, Anul 2001, Numar persoane, 21
30-34 ani, Vrancea, Anul 2002, Numar persoane, 28
30-34 ani, Vrancea, Anul 2003, Numar persoane, 48
30-34 ani, Vrancea, Anul 2004, Numar persoane, 37
30-34 ani, Vrancea, Anul 2005, Numar persoane, 57
30-34 ani, Vrancea, Anul 2006, Numar persoane, 81
30-34 ani, Vrancea, Anul 2007, Numar persoane, 41
30-34 ani, Vrancea, Anul 2008, Numar persoane, 18
30-34 ani, Vrancea, Anul 2009, Numar persoane, 32
30-34 ani, Vrancea, Anul 2010, Numar persoane, 19
30-34 ani, Vrancea, Anul 2011, Numar persoane, 9
30-34 ani, Vrancea, Anul 2012, Numar persoane, 15
30-34 ani, Vrancea, Anul 2013, Numar persoane, 16
30-34 ani, Vrancea, Anul 2014, Numar persoane, 21
30-34 ani, Vrancea, Anul 2015, Numar persoane, 35
30-34 ani, Vrancea, Anul 2016, Numar persoane, 37
30-34 ani, Vrancea, Anul 2017, Numar persoane, 38
30-34 ani, Vrancea, Anul 2018, Numar persoane, 51
30-34 ani, Vrancea, Anul 2019, Numar persoane, 45
30-34 ani, Vrancea, Anul 2020, Numar persoane, 37
30-34 ani, Vrancea, Anul 2021, Numar persoane, 49
30-34 ani, Vrancea, Anul 2022, Numar persoane, 90
30-34 ani, Arges, Anul 1992, Numar persoane, 16
30-34 ani, Arges, Anul 1993, Numar persoane, 12
30-34 ani, Arges, Anul 1994, Numar persoane, 14
30-34 ani, Arges, Anul 1995, Numar persoane, 41
30-34 ani, Arges, Anul 1996, Numar persoane, 30
30-34 ani, Arges, Anul 1997, Numar persoane, 25
30-34 ani, Arges, Anul 1998, Numar persoane, 25
30-34 ani, Arges, Anul 1999, Numar persoane, 33
30-34 ani, Arges, Anul 2000, Numar persoane, 40
30-34 ani, Arges, Anul 2001, Numar persoane, 28
30-34 ani, Arges, Anul 2002, Numar persoane, 31
30-34 ani, Arges, Anul 2003, Numar persoane, 17
30-34 ani, Arges, Anul 2004, Numar persoane, 25
30-34 ani, Arges, Anul 2005, Numar persoane, 23
30-34 ani, Arges, Anul 2006, Numar persoane, 30
30-34 ani, Arges, Anul 2007, Numar persoane, 22
30-34 ani, Arges, Anul 2008, Numar persoane, 19
30-34 ani, Arges, Anul 2009, Numar persoane, 28
30-34 ani, Arges, Anul 2010, Numar persoane, 24
30-34 ani, Arges, Anul 2011, Numar persoane, 24
30-34 ani, Arges, Anul 2012, Numar persoane, 20
30-34 ani, Arges, Anul 2013, Numar persoane, 33
30-34 ani, Arges, Anul 2014, Numar persoane, 22
30-34 ani, Arges, Anul 2015, Numar persoane, 43
30-34 ani, Arges, Anul 2016, Numar persoane, 44
30-34 ani, Arges, Anul 2017, Numar persoane, 49
30-34 ani, Arges, Anul 2018, Numar persoane, 51
30-34 ani, Arges, Anul 2019, Numar persoane, 61
30-34 ani, Arges, Anul 2020, Numar persoane, 50
30-34 ani, Arges, Anul 2021, Numar persoane, 58
30-34 ani, Arges, Anul 2022, Numar persoane, 83
30-34 ani, Calarasi, Anul 1992, Numar persoane, 7
30-34 ani, Calarasi, Anul 1993, Numar persoane, 1
30-34 ani, Calarasi, Anul 1995, Numar persoane, 2
30-34 ani, Calarasi, Anul 1996, Numar persoane, 13
30-34 ani, Calarasi, Anul 1997, Numar persoane, 2
30-34 ani, Calarasi, Anul 1998, Numar persoane, 8
30-34 ani, Calarasi, Anul 1999, Numar persoane, 3
30-34 ani, Calarasi, Anul 2000, Numar persoane, 9
30-34 ani, Calarasi, Anul 2001, Numar persoane, 2
30-34 ani, Calarasi, Anul 2002, Numar persoane, 5
30-34 ani, Calarasi, Anul 2003, Numar persoane, 2
30-34 ani, Calarasi, Anul 2004, Numar persoane, 4
30-34 ani, Calarasi, Anul 2005, Numar persoane, 7
30-34 ani, Calarasi, Anul 2006, Numar persoane, 12
30-34 ani, Calarasi, Anul 2007, Numar persoane, 7
30-34 ani, Calarasi, Anul 2008, Numar persoane, 10
30-34 ani, Calarasi, Anul 2009, Numar persoane, 7
30-34 ani, Calarasi, Anul 2010, Numar persoane, 7
30-34 ani, Calarasi, Anul 2011, Numar persoane, 14
30-34 ani, Calarasi, Anul 2012, Numar persoane, 8
30-34 ani, Calarasi, Anul 2013, Numar persoane, 11
30-34 ani, Calarasi, Anul 2014, Numar persoane, 17
30-34 ani, Calarasi, Anul 2015, Numar persoane, 20
30-34 ani, Calarasi, Anul 2016, Numar persoane, 25
30-34 ani, Calarasi, Anul 2017, Numar persoane, 21
30-34 ani, Calarasi, Anul 2018, Numar persoane, 28
30-34 ani, Calarasi, Anul 2019, Numar persoane, 34
30-34 ani, Calarasi, Anul 2020, Numar persoane, 26
30-34 ani, Calarasi, Anul 2021, Numar persoane, 46
30-34 ani, Calarasi, Anul 2022, Numar persoane, 46
30-34 ani, Dambovita, Anul 1992, Numar persoane, 14
30-34 ani, Dambovita, Anul 1993, Numar persoane, 4
30-34 ani, Dambovita, Anul 1994, Numar persoane, 4
30-34 ani, Dambovita, Anul 1995, Numar persoane, 13
30-34 ani, Dambovita, Anul 1996, Numar persoane, 12
30-34 ani, Dambovita, Anul 1997, Numar persoane, 12
30-34 ani, Dambovita, Anul 1998, Numar persoane, 10
30-34 ani, Dambovita, Anul 1999, Numar persoane, 11
30-34 ani, Dambovita, Anul 2000, Numar persoane, 21
30-34 ani, Dambovita, Anul 2001, Numar persoane, 19
30-34 ani, Dambovita, Anul 2002, Numar persoane, 5
30-34 ani, Dambovita, Anul 2003, Numar persoane, 15
30-34 ani, Dambovita, Anul 2004, Numar persoane, 24
30-34 ani, Dambovita, Anul 2005, Numar persoane, 19
30-34 ani, Dambovita, Anul 2006, Numar persoane, 28
30-34 ani, Dambovita, Anul 2007, Numar persoane, 23
30-34 ani, Dambovita, Anul 2008, Numar persoane, 28
30-34 ani, Dambovita, Anul 2009, Numar persoane, 36
30-34 ani, Dambovita, Anul 2010, Numar persoane, 12
30-34 ani, Dambovita, Anul 2011, Numar persoane, 17
30-34 ani, Dambovita, Anul 2012, Numar persoane, 20
30-34 ani, Dambovita, Anul 2013, Numar persoane, 31
30-34 ani, Dambovita, Anul 2014, Numar persoane, 22
30-34 ani, Dambovita, Anul 2015, Numar persoane, 41
30-34 ani, Dambovita, Anul 2016, Numar persoane, 46
30-34 ani, Dambovita, Anul 2017, Numar persoane, 51
30-34 ani, Dambovita, Anul 2018, Numar persoane, 50
30-34 ani, Dambovita, Anul 2019, Numar persoane, 55
30-34 ani, Dambovita, Anul 2020, Numar persoane, 39
30-34 ani, Dambovita, Anul 2021, Numar persoane, 75
30-34 ani, Dambovita, Anul 2022, Numar persoane, 96
30-34 ani, Giurgiu, Anul 1992, Numar persoane, 2
30-34 ani, Giurgiu, Anul 1993, Numar persoane, 1
30-34 ani, Giurgiu, Anul 1995, Numar persoane, 6
30-34 ani, Giurgiu, Anul 1996, Numar persoane, 3
30-34 ani, Giurgiu, Anul 1997, Numar persoane, 3
30-34 ani, Giurgiu, Anul 1999, Numar persoane, 5
30-34 ani, Giurgiu, Anul 2000, Numar persoane, 4
30-34 ani, Giurgiu, Anul 2001, Numar persoane, 2
30-34 ani, Giurgiu, Anul 2002, Numar persoane, 1
30-34 ani, Giurgiu, Anul 2003, Numar persoane, 1
30-34 ani, Giurgiu, Anul 2004, Numar persoane, 1
30-34 ani, Giurgiu, Anul 2005, Numar persoane, 9
30-34 ani, Giurgiu, Anul 2006, Numar persoane, 4
30-34 ani, Giurgiu, Anul 2007, Numar persoane, 1
30-34 ani, Giurgiu, Anul 2008, Numar persoane, 1
30-34 ani, Giurgiu, Anul 2009, Numar persoane, 7
30-34 ani, Giurgiu, Anul 2010, Numar persoane, 6
30-34 ani, Giurgiu, Anul 2011, Numar persoane, 11
30-34 ani, Giurgiu, Anul 2012, Numar persoane, 12
30-34 ani, Giurgiu, Anul 2013, Numar persoane, 7
30-34 ani, Giurgiu, Anul 2014, Numar persoane, 8
30-34 ani, Giurgiu, Anul 2015, Numar persoane, 12
30-34 ani, Giurgiu, Anul 2016, Numar persoane, 14
30-34 ani, Giurgiu, Anul 2017, Numar persoane, 21
30-34 ani, Giurgiu, Anul 2018, Numar persoane, 26
30-34 ani, Giurgiu, Anul 2019, Numar persoane, 16
30-34 ani, Giurgiu, Anul 2020, Numar persoane, 12
30-34 ani, Giurgiu, Anul 2021, Numar persoane, 32
30-34 ani, Giurgiu, Anul 2022, Numar persoane, 49
30-34 ani, Ialomita, Anul 1992, Numar persoane, 3
30-34 ani, Ialomita, Anul 1993, Numar persoane, 2
30-34 ani, Ialomita, Anul 1994, Numar persoane, 2
30-34 ani, Ialomita, Anul 1995, Numar persoane, 2
30-34 ani, Ialomita, Anul 1996, Numar persoane, 3
30-34 ani, Ialomita, Anul 1997, Numar persoane, 2
30-34 ani, Ialomita, Anul 1998, Numar persoane, 1
30-34 ani, Ialomita, Anul 1999, Numar persoane, 3
30-34 ani, Ialomita, Anul 2000, Numar persoane, 8
30-34 ani, Ialomita, Anul 2001, Numar persoane, 12
30-34 ani, Ialomita, Anul 2002, Numar persoane, 3
30-34 ani, Ialomita, Anul 2003, Numar persoane, 4
30-34 ani, Ialomita, Anul 2004, Numar persoane, 5
30-34 ani, Ialomita, Anul 2005, Numar persoane, 7
30-34 ani, Ialomita, Anul 2006, Numar persoane, 5
30-34 ani, Ialomita, Anul 2007, Numar persoane, 8
30-34 ani, Ialomita, Anul 2008, Numar persoane, 8
30-34 ani, Ialomita, Anul 2009, Numar persoane, 6
30-34 ani, Ialomita, Anul 2010, Numar persoane, 8
30-34 ani, Ialomita, Anul 2011, Numar persoane, 7
30-34 ani, Ialomita, Anul 2012, Numar persoane, 4
30-34 ani, Ialomita, Anul 2013, Numar persoane, 18
30-34 ani, Ialomita, Anul 2014, Numar persoane, 14
30-34 ani, Ialomita, Anul 2015, Numar persoane, 16
30-34 ani, Ialomita, Anul 2016, Numar persoane, 24
30-34 ani, Ialomita, Anul 2017, Numar persoane, 22
30-34 ani, Ialomita, Anul 2018, Numar persoane, 35
30-34 ani, Ialomita, Anul 2019, Numar persoane, 15
30-34 ani, Ialomita, Anul 2020, Numar persoane, 23
30-34 ani, Ialomita, Anul 2021, Numar persoane, 29
30-34 ani, Ialomita, Anul 2022, Numar persoane, 46
30-34 ani, Prahova, Anul 1992, Numar persoane, 34
30-34 ani, Prahova, Anul 1993, Numar persoane, 16
30-34 ani, Prahova, Anul 1994, Numar persoane, 26
30-34 ani, Prahova, Anul 1995, Numar persoane, 49
30-34 ani, Prahova, Anul 1996, Numar persoane, 56
30-34 ani, Prahova, Anul 1997, Numar persoane, 47
30-34 ani, Prahova, Anul 1998, Numar persoane, 47
30-34 ani, Prahova, Anul 1999, Numar persoane, 38
30-34 ani, Prahova, Anul 2000, Numar persoane, 56
30-34 ani, Prahova, Anul 2001, Numar persoane, 61
30-34 ani, Prahova, Anul 2002, Numar persoane, 30
30-34 ani, Prahova, Anul 2003, Numar persoane, 48
30-34 ani, Prahova, Anul 2004, Numar persoane, 53
30-34 ani, Prahova, Anul 2005, Numar persoane, 36
30-34 ani, Prahova, Anul 2006, Numar persoane, 55
30-34 ani, Prahova, Anul 2007, Numar persoane, 26
30-34 ani, Prahova, Anul 2008, Numar persoane, 37
30-34 ani, Prahova, Anul 2009, Numar persoane, 54
30-34 ani, Prahova, Anul 2010, Numar persoane, 35
30-34 ani, Prahova, Anul 2011, Numar persoane, 22
30-34 ani, Prahova, Anul 2012, Numar persoane, 40
30-34 ani, Prahova, Anul 2013, Numar persoane, 47
30-34 ani, Prahova, Anul 2014, Numar persoane, 31
30-34 ani, Prahova, Anul 2015, Numar persoane, 62
30-34 ani, Prahova, Anul 2016, Numar persoane, 74
30-34 ani, Prahova, Anul 2017, Numar persoane, 68
30-34 ani, Prahova, Anul 2018, Numar persoane, 85
30-34 ani, Prahova, Anul 2019, Numar persoane, 71
30-34 ani, Prahova, Anul 2020, Numar persoane, 67
30-34 ani, Prahova, Anul 2021, Numar persoane, 105
30-34 ani, Prahova, Anul 2022, Numar persoane, 133
30-34 ani, Teleorman, Anul 1992, Numar persoane, 3
30-34 ani, Teleorman, Anul 1993, Numar persoane, 2
30-34 ani, Teleorman, Anul 1994, Numar persoane, 1
30-34 ani, Teleorman, Anul 1995, Numar persoane, 7
30-34 ani, Teleorman, Anul 1996, Numar persoane, 17
30-34 ani, Teleorman, Anul 1997, Numar persoane, 10
30-34 ani, Teleorman, Anul 1998, Numar persoane, 3
30-34 ani, Teleorman, Anul 1999, Numar persoane, 6
30-34 ani, Teleorman, Anul 2000, Numar persoane, 6
30-34 ani, Teleorman, Anul 2001, Numar persoane, 4
30-34 ani, Teleorman, Anul 2002, Numar persoane, 6
30-34 ani, Teleorman, Anul 2003, Numar persoane, 4
30-34 ani, Teleorman, Anul 2004, Numar persoane, 9
30-34 ani, Teleorman, Anul 2005, Numar persoane, 9
30-34 ani, Teleorman, Anul 2006, Numar persoane, 15
30-34 ani, Teleorman, Anul 2007, Numar persoane, 7
30-34 ani, Teleorman, Anul 2008, Numar persoane, 9
30-34 ani, Teleorman, Anul 2009, Numar persoane, 13
30-34 ani, Teleorman, Anul 2010, Numar persoane, 13
30-34 ani, Teleorman, Anul 2011, Numar persoane, 23
30-34 ani, Teleorman, Anul 2012, Numar persoane, 24
30-34 ani, Teleorman, Anul 2013, Numar persoane, 43
30-34 ani, Teleorman, Anul 2014, Numar persoane, 30
30-34 ani, Teleorman, Anul 2015, Numar persoane, 32
30-34 ani, Teleorman, Anul 2016, Numar persoane, 39
30-34 ani, Teleorman, Anul 2017, Numar persoane, 29
30-34 ani, Teleorman, Anul 2018, Numar persoane, 53
30-34 ani, Teleorman, Anul 2019, Numar persoane, 56
30-34 ani, Teleorman, Anul 2020, Numar persoane, 48
30-34 ani, Teleorman, Anul 2021, Numar persoane, 59
30-34 ani, Teleorman, Anul 2022, Numar persoane, 60
30-34 ani, Ilfov, Anul 1992, Numar persoane, 10
30-34 ani, Ilfov, Anul 1994, Numar persoane, 1
30-34 ani, Ilfov, Anul 1995, Numar persoane, 4
30-34 ani, Ilfov, Anul 1996, Numar persoane, 7
30-34 ani, Ilfov, Anul 1997, Numar persoane, 5
30-34 ani, Ilfov, Anul 1998, Numar persoane, 2
30-34 ani, Ilfov, Anul 1999, Numar persoane, 1
30-34 ani, Ilfov, Anul 2000, Numar persoane, 2
30-34 ani, Ilfov, Anul 2001, Numar persoane, 2
30-34 ani, Ilfov, Anul 2002, Numar persoane, 5
30-34 ani, Ilfov, Anul 2003, Numar persoane, 6
30-34 ani, Ilfov, Anul 2004, Numar persoane, 8
30-34 ani, Ilfov, Anul 2005, Numar persoane, 6
30-34 ani, Ilfov, Anul 2006, Numar persoane, 8
30-34 ani, Ilfov, Anul 2007, Numar persoane, 3
30-34 ani, Ilfov, Anul 2008, Numar persoane, 11
30-34 ani, Ilfov, Anul 2009, Numar persoane, 9
30-34 ani, Ilfov, Anul 2010, Numar persoane, 5
30-34 ani, Ilfov, Anul 2011, Numar persoane, 7
30-34 ani, Ilfov, Anul 2012, Numar persoane, 5
30-34 ani, Ilfov, Anul 2013, Numar persoane, 13
30-34 ani, Ilfov, Anul 2014, Numar persoane, 17
30-34 ani, Ilfov, Anul 2015, Numar persoane, 32
30-34 ani, Ilfov, Anul 2016, Numar persoane, 23
30-34 ani, Ilfov, Anul 2017, Numar persoane, 20
30-34 ani, Ilfov, Anul 2018, Numar persoane, 38
30-34 ani, Ilfov, Anul 2019, Numar persoane, 38
30-34 ani, Ilfov, Anul 2020, Numar persoane, 39
30-34 ani, Ilfov, Anul 2021, Numar persoane, 63
30-34 ani, Ilfov, Anul 2022, Numar persoane, 77
30-34 ani, Municipiul Bucuresti, Anul 1992, Numar persoane, 518
30-34 ani, Municipiul Bucuresti, Anul 1993, Numar persoane, 307
30-34 ani, Municipiul Bucuresti, Anul 1994, Numar persoane, 324
30-34 ani, Municipiul Bucuresti, Anul 1995, Numar persoane, 758
30-34 ani, Municipiul Bucuresti, Anul 1996, Numar persoane, 580
30-34 ani, Municipiul Bucuresti, Anul 1997, Numar persoane, 466
30-34 ani, Municipiul Bucuresti, Anul 1998, Numar persoane, 428
30-34 ani, Municipiul Bucuresti, Anul 1999, Numar persoane, 369
30-34 ani, Municipiul Bucuresti, Anul 2000, Numar persoane, 524
30-34 ani, Municipiul Bucuresti, Anul 2001, Numar persoane, 368
30-34 ani, Municipiul Bucuresti, Anul 2002, Numar persoane, 293
30-34 ani, Municipiul Bucuresti, Anul 2003, Numar persoane, 338
30-34 ani, Municipiul Bucuresti, Anul 2004, Numar persoane, 348
30-34 ani, Municipiul Bucuresti, Anul 2005, Numar persoane, 341
30-34 ani, Municipiul Bucuresti, Anul 2006, Numar persoane, 408
30-34 ani, Municipiul Bucuresti, Anul 2007, Numar persoane, 304
30-34 ani, Municipiul Bucuresti, Anul 2008, Numar persoane, 316
30-34 ani, Municipiul Bucuresti, Anul 2009, Numar persoane, 351
30-34 ani, Municipiul Bucuresti, Anul 2010, Numar persoane, 230
30-34 ani, Municipiul Bucuresti, Anul 2011, Numar persoane, 710
30-34 ani, Municipiul Bucuresti, Anul 2012, Numar persoane, 623
30-34 ani, Municipiul Bucuresti, Anul 2013, Numar persoane, 631
30-34 ani, Municipiul Bucuresti, Anul 2014, Numar persoane, 185
30-34 ani, Municipiul Bucuresti, Anul 2015, Numar persoane, 296
30-34 ani, Municipiul Bucuresti, Anul 2016, Numar persoane, 414
30-34 ani, Municipiul Bucuresti, Anul 2017, Numar persoane, 340
30-34 ani, Municipiul Bucuresti, Anul 2018, Numar persoane, 441
30-34 ani, Municipiul Bucuresti, Anul 2019, Numar persoane, 420
30-34 ani, Municipiul Bucuresti, Anul 2020, Numar persoane, 381
30-34 ani, Municipiul Bucuresti, Anul 2021, Numar persoane, 631
30-34 ani, Municipiul Bucuresti, Anul 2022, Numar persoane, 757
30-34 ani, Dolj, Anul 1992, Numar persoane, 32
30-34 ani, Dolj, Anul 1993, Numar persoane, 31
30-34 ani, Dolj, Anul 1994, Numar persoane, 20
30-34 ani, Dolj, Anul 1995, Numar persoane, 66
30-34 ani, Dolj, Anul 1996, Numar persoane, 64
30-34 ani, Dolj, Anul 1997, Numar persoane, 53
30-34 ani, Dolj, Anul 1998, Numar persoane, 47
30-34 ani, Dolj, Anul 1999, Numar persoane, 45
30-34 ani, Dolj, Anul 2000, Numar persoane, 72
30-34 ani, Dolj, Anul 2001, Numar persoane, 58
30-34 ani, Dolj, Anul 2002, Numar persoane, 30
30-34 ani, Dolj, Anul 2003, Numar persoane, 48
30-34 ani, Dolj, Anul 2004, Numar persoane, 71
30-34 ani, Dolj, Anul 2005, Numar persoane, 62
30-34 ani, Dolj, Anul 2006, Numar persoane, 60
30-34 ani, Dolj, Anul 2007, Numar persoane, 57
30-34 ani, Dolj, Anul 2008, Numar persoane, 37
30-34 ani, Dolj, Anul 2009, Numar persoane, 64
30-34 ani, Dolj, Anul 2010, Numar persoane, 36
30-34 ani, Dolj, Anul 2011, Numar persoane, 29
30-34 ani, Dolj, Anul 2012, Numar persoane, 26
30-34 ani, Dolj, Anul 2013, Numar persoane, 32
30-34 ani, Dolj, Anul 2014, Numar persoane, 35
30-34 ani, Dolj, Anul 2015, Numar persoane, 44
30-34 ani, Dolj, Anul 2016, Numar persoane, 65
30-34 ani, Dolj, Anul 2017, Numar persoane, 56
30-34 ani, Dolj, Anul 2018, Numar persoane, 59
30-34 ani, Dolj, Anul 2019, Numar persoane, 74
30-34 ani, Dolj, Anul 2020, Numar persoane, 60
30-34 ani, Dolj, Anul 2021, Numar persoane, 90
30-34 ani, Dolj, Anul 2022, Numar persoane, 104
30-34 ani, Gorj, Anul 1992, Numar persoane, 12
30-34 ani, Gorj, Anul 1993, Numar persoane, 6
30-34 ani, Gorj, Anul 1994, Numar persoane, 9
30-34 ani, Gorj, Anul 1995, Numar persoane, 11
30-34 ani, Gorj, Anul 1996, Numar persoane, 7
30-34 ani, Gorj, Anul 1997, Numar persoane, 8
30-34 ani, Gorj, Anul 1998, Numar persoane, 8
30-34 ani, Gorj, Anul 1999, Numar persoane, 6
30-34 ani, Gorj, Anul 2000, Numar persoane, 8
30-34 ani, Gorj, Anul 2001, Numar persoane, 6
30-34 ani, Gorj, Anul 2002, Numar persoane, 4
30-34 ani, Gorj, Anul 2003, Numar persoane, 14
30-34 ani, Gorj, Anul 2004, Numar persoane, 4
30-34 ani, Gorj, Anul 2005, Numar persoane, 5
30-34 ani, Gorj, Anul 2006, Numar persoane, 12
30-34 ani, Gorj, Anul 2007, Numar persoane, 7
30-34 ani, Gorj, Anul 2008, Numar persoane, 10
30-34 ani, Gorj, Anul 2009, Numar persoane, 8
30-34 ani, Gorj, Anul 2010, Numar persoane, 16
30-34 ani, Gorj, Anul 2011, Numar persoane, 10
30-34 ani, Gorj, Anul 2012, Numar persoane, 11
30-34 ani, Gorj, Anul 2013, Numar persoane, 10
30-34 ani, Gorj, Anul 2014, Numar persoane, 12
30-34 ani, Gorj, Anul 2015, Numar persoane, 17
30-34 ani, Gorj, Anul 2016, Numar persoane, 27
30-34 ani, Gorj, Anul 2017, Numar persoane, 20
30-34 ani, Gorj, Anul 2018, Numar persoane, 16
30-34 ani, Gorj, Anul 2019, Numar persoane, 28
30-34 ani, Gorj, Anul 2020, Numar persoane, 21
30-34 ani, Gorj, Anul 2021, Numar persoane, 40
30-34 ani, Gorj, Anul 2022, Numar persoane, 46
30-34 ani, Mehedinti, Anul 1992, Numar persoane, 13
30-34 ani, Mehedinti, Anul 1993, Numar persoane, 7
30-34 ani, Mehedinti, Anul 1994, Numar persoane, 8
30-34 ani, Mehedinti, Anul 1995, Numar persoane, 9
30-34 ani, Mehedinti, Anul 1996, Numar persoane, 16
30-34 ani, Mehedinti, Anul 1997, Numar persoane, 13
30-34 ani, Mehedinti, Anul 1998, Numar persoane, 11
30-34 ani, Mehedinti, Anul 1999, Numar persoane, 12
30-34 ani, Mehedinti, Anul 2000, Numar persoane, 14
30-34 ani, Mehedinti, Anul 2001, Numar persoane, 6
30-34 ani, Mehedinti, Anul 2002, Numar persoane, 5
30-34 ani, Mehedinti, Anul 2003, Numar persoane, 7
30-34 ani, Mehedinti, Anul 2004, Numar persoane, 9
30-34 ani, Mehedinti, Anul 2005, Numar persoane, 9
30-34 ani, Mehedinti, Anul 2006, Numar persoane, 10
30-34 ani, Mehedinti, Anul 2007, Numar persoane, 18
30-34 ani, Mehedinti, Anul 2008, Numar persoane, 6
30-34 ani, Mehedinti, Anul 2009, Numar persoane, 13
30-34 ani, Mehedinti, Anul 2010, Numar persoane, 15
30-34 ani, Mehedinti, Anul 2011, Numar persoane, 14
30-34 ani, Mehedinti, Anul 2012, Numar persoane, 5
30-34 ani, Mehedinti, Anul 2013, Numar persoane, 9
30-34 ani, Mehedinti, Anul 2014, Numar persoane, 13
30-34 ani, Mehedinti, Anul 2015, Numar persoane, 14
