Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Urban, Giurgiu, Anul 2014, Numar persoane, 708
Total, Urban, Giurgiu, Anul 2015, Numar persoane, 714
Total, Urban, Giurgiu, Anul 2016, Numar persoane, 749
Total, Urban, Giurgiu, Anul 2017, Numar persoane, 729
Total, Urban, Giurgiu, Anul 2018, Numar persoane, 769
Total, Urban, Giurgiu, Anul 2019, Numar persoane, 709
Total, Urban, Giurgiu, Anul 2020, Numar persoane, 709
Total, Urban, Giurgiu, Anul 2021, Numar persoane, 698
Total, Urban, Giurgiu, Anul 2022, Numar persoane, 591
Total, Urban, Ialomita, Anul 1990, Numar persoane, 1802
Total, Urban, Ialomita, Anul 1991, Numar persoane, 1486
Total, Urban, Ialomita, Anul 1992, Numar persoane, 1385
Total, Urban, Ialomita, Anul 1993, Numar persoane, 1461
Total, Urban, Ialomita, Anul 1994, Numar persoane, 1463
Total, Urban, Ialomita, Anul 1995, Numar persoane, 1306
Total, Urban, Ialomita, Anul 1996, Numar persoane, 1315
Total, Urban, Ialomita, Anul 1997, Numar persoane, 1348
Total, Urban, Ialomita, Anul 1998, Numar persoane, 1359
Total, Urban, Ialomita, Anul 1999, Numar persoane, 1319
Total, Urban, Ialomita, Anul 2000, Numar persoane, 1335
Total, Urban, Ialomita, Anul 2001, Numar persoane, 1129
Total, Urban, Ialomita, Anul 2002, Numar persoane, 1126
Total, Urban, Ialomita, Anul 2003, Numar persoane, 1070
Total, Urban, Ialomita, Anul 2004, Numar persoane, 1198
Total, Urban, Ialomita, Anul 2005, Numar persoane, 1429
Total, Urban, Ialomita, Anul 2006, Numar persoane, 1575
Total, Urban, Ialomita, Anul 2007, Numar persoane, 1665
Total, Urban, Ialomita, Anul 2008, Numar persoane, 1690
Total, Urban, Ialomita, Anul 2009, Numar persoane, 1589
Total, Urban, Ialomita, Anul 2010, Numar persoane, 1506
Total, Urban, Ialomita, Anul 2011, Numar persoane, 1411
Total, Urban, Ialomita, Anul 2012, Numar persoane, 1335
Total, Urban, Ialomita, Anul 2013, Numar persoane, 1645
Total, Urban, Ialomita, Anul 2014, Numar persoane, 1298
Total, Urban, Ialomita, Anul 2015, Numar persoane, 1375
Total, Urban, Ialomita, Anul 2016, Numar persoane, 1351
Total, Urban, Ialomita, Anul 2017, Numar persoane, 1437
Total, Urban, Ialomita, Anul 2018, Numar persoane, 1438
Total, Urban, Ialomita, Anul 2019, Numar persoane, 1398
Total, Urban, Ialomita, Anul 2020, Numar persoane, 1249
Total, Urban, Ialomita, Anul 2021, Numar persoane, 1185
Total, Urban, Ialomita, Anul 2022, Numar persoane, 1033
Total, Urban, Prahova, Anul 1990, Numar persoane, 5339
Total, Urban, Prahova, Anul 1991, Numar persoane, 4520
Total, Urban, Prahova, Anul 1992, Numar persoane, 4219
Total, Urban, Prahova, Anul 1993, Numar persoane, 4057
Total, Urban, Prahova, Anul 1994, Numar persoane, 3816
Total, Urban, Prahova, Anul 1995, Numar persoane, 3543
Total, Urban, Prahova, Anul 1996, Numar persoane, 3674
Total, Urban, Prahova, Anul 1997, Numar persoane, 3785
Total, Urban, Prahova, Anul 1998, Numar persoane, 3712
Total, Urban, Prahova, Anul 1999, Numar persoane, 3562
Total, Urban, Prahova, Anul 2000, Numar persoane, 3785
Total, Urban, Prahova, Anul 2001, Numar persoane, 3590
Total, Urban, Prahova, Anul 2002, Numar persoane, 3451
Total, Urban, Prahova, Anul 2003, Numar persoane, 3491
Total, Urban, Prahova, Anul 2004, Numar persoane, 3778
Total, Urban, Prahova, Anul 2005, Numar persoane, 3931
Total, Urban, Prahova, Anul 2006, Numar persoane, 3915
Total, Urban, Prahova, Anul 2007, Numar persoane, 3660
Total, Urban, Prahova, Anul 2008, Numar persoane, 3823
Total, Urban, Prahova, Anul 2009, Numar persoane, 3879
Total, Urban, Prahova, Anul 2010, Numar persoane, 3604
Total, Urban, Prahova, Anul 2011, Numar persoane, 3243
Total, Urban, Prahova, Anul 2012, Numar persoane, 3225
Total, Urban, Prahova, Anul 2013, Numar persoane, 3338
Total, Urban, Prahova, Anul 2014, Numar persoane, 3344
Total, Urban, Prahova, Anul 2015, Numar persoane, 3466
Total, Urban, Prahova, Anul 2016, Numar persoane, 3358
Total, Urban, Prahova, Anul 2017, Numar persoane, 3434
Total, Urban, Prahova, Anul 2018, Numar persoane, 3291
Total, Urban, Prahova, Anul 2019, Numar persoane, 3056
Total, Urban, Prahova, Anul 2020, Numar persoane, 2790
Total, Urban, Prahova, Anul 2021, Numar persoane, 2723
Total, Urban, Prahova, Anul 2022, Numar persoane, 2327
Total, Urban, Teleorman, Anul 1990, Numar persoane, 2178
Total, Urban, Teleorman, Anul 1991, Numar persoane, 1854
Total, Urban, Teleorman, Anul 1992, Numar persoane, 1745
Total, Urban, Teleorman, Anul 1993, Numar persoane, 1658
Total, Urban, Teleorman, Anul 1994, Numar persoane, 1551
Total, Urban, Teleorman, Anul 1995, Numar persoane, 1446
Total, Urban, Teleorman, Anul 1996, Numar persoane, 1466
Total, Urban, Teleorman, Anul 1997, Numar persoane, 1569
Total, Urban, Teleorman, Anul 1998, Numar persoane, 1543
Total, Urban, Teleorman, Anul 1999, Numar persoane, 1466
Total, Urban, Teleorman, Anul 2000, Numar persoane, 1462
Total, Urban, Teleorman, Anul 2001, Numar persoane, 1198
Total, Urban, Teleorman, Anul 2002, Numar persoane, 1153
Total, Urban, Teleorman, Anul 2003, Numar persoane, 1222
Total, Urban, Teleorman, Anul 2004, Numar persoane, 1249
Total, Urban, Teleorman, Anul 2005, Numar persoane, 1274
Total, Urban, Teleorman, Anul 2006, Numar persoane, 1264
Total, Urban, Teleorman, Anul 2007, Numar persoane, 1152
Total, Urban, Teleorman, Anul 2008, Numar persoane, 1272
Total, Urban, Teleorman, Anul 2009, Numar persoane, 1299
Total, Urban, Teleorman, Anul 2010, Numar persoane, 1196
Total, Urban, Teleorman, Anul 2011, Numar persoane, 1090
Total, Urban, Teleorman, Anul 2012, Numar persoane, 1132
Total, Urban, Teleorman, Anul 2013, Numar persoane, 1268
Total, Urban, Teleorman, Anul 2014, Numar persoane, 1177
Total, Urban, Teleorman, Anul 2015, Numar persoane, 1109
Total, Urban, Teleorman, Anul 2016, Numar persoane, 1078
Total, Urban, Teleorman, Anul 2017, Numar persoane, 1077
Total, Urban, Teleorman, Anul 2018, Numar persoane, 1059
Total, Urban, Teleorman, Anul 2019, Numar persoane, 1067
Total, Urban, Teleorman, Anul 2020, Numar persoane, 923
Total, Urban, Teleorman, Anul 2021, Numar persoane, 888
Total, Urban, Teleorman, Anul 2022, Numar persoane, 720
Total, Urban, Ilfov, Anul 1990, Numar persoane, 273
Total, Urban, Ilfov, Anul 1991, Numar persoane, 202
Total, Urban, Ilfov, Anul 1992, Numar persoane, 185
Total, Urban, Ilfov, Anul 1993, Numar persoane, 192
Total, Urban, Ilfov, Anul 1994, Numar persoane, 198
Total, Urban, Ilfov, Anul 1995, Numar persoane, 187
Total, Urban, Ilfov, Anul 1996, Numar persoane, 191
Total, Urban, Ilfov, Anul 1997, Numar persoane, 207
Total, Urban, Ilfov, Anul 1998, Numar persoane, 193
Total, Urban, Ilfov, Anul 1999, Numar persoane, 198
Total, Urban, Ilfov, Anul 2000, Numar persoane, 200
Total, Urban, Ilfov, Anul 2001, Numar persoane, 240
Total, Urban, Ilfov, Anul 2002, Numar persoane, 262
Total, Urban, Ilfov, Anul 2003, Numar persoane, 268
Total, Urban, Ilfov, Anul 2004, Numar persoane, 768
Total, Urban, Ilfov, Anul 2005, Numar persoane, 777
Total, Urban, Ilfov, Anul 2006, Numar persoane, 1345
Total, Urban, Ilfov, Anul 2007, Numar persoane, 1431
Total, Urban, Ilfov, Anul 2008, Numar persoane, 1599
Total, Urban, Ilfov, Anul 2009, Numar persoane, 1825
Total, Urban, Ilfov, Anul 2010, Numar persoane, 1661
Total, Urban, Ilfov, Anul 2011, Numar persoane, 1565
Total, Urban, Ilfov, Anul 2012, Numar persoane, 1697
Total, Urban, Ilfov, Anul 2013, Numar persoane, 1758
Total, Urban, Ilfov, Anul 2014, Numar persoane, 1898
Total, Urban, Ilfov, Anul 2015, Numar persoane, 2131
Total, Urban, Ilfov, Anul 2016, Numar persoane, 2298
Total, Urban, Ilfov, Anul 2017, Numar persoane, 2497
Total, Urban, Ilfov, Anul 2018, Numar persoane, 2445
Total, Urban, Ilfov, Anul 2019, Numar persoane, 2361
Total, Urban, Ilfov, Anul 2020, Numar persoane, 2185
Total, Urban, Ilfov, Anul 2021, Numar persoane, 2247
Total, Urban, Ilfov, Anul 2022, Numar persoane, 2148
Total, Urban, Municipiul Bucuresti, Anul 1990, Numar persoane, 21105
Total, Urban, Municipiul Bucuresti, Anul 1991, Numar persoane, 17532
Total, Urban, Municipiul Bucuresti, Anul 1992, Numar persoane, 15704
Total, Urban, Municipiul Bucuresti, Anul 1993, Numar persoane, 15049
Total, Urban, Municipiul Bucuresti, Anul 1994, Numar persoane, 14812
Total, Urban, Municipiul Bucuresti, Anul 1995, Numar persoane, 14747
Total, Urban, Municipiul Bucuresti, Anul 1996, Numar persoane, 14781
Total, Urban, Municipiul Bucuresti, Anul 1997, Numar persoane, 14614
Total, Urban, Municipiul Bucuresti, Anul 1998, Numar persoane, 14812
Total, Urban, Municipiul Bucuresti, Anul 1999, Numar persoane, 14948
Total, Urban, Municipiul Bucuresti, Anul 2000, Numar persoane, 15396
Total, Urban, Municipiul Bucuresti, Anul 2001, Numar persoane, 14828
Total, Urban, Municipiul Bucuresti, Anul 2002, Numar persoane, 14573
Total, Urban, Municipiul Bucuresti, Anul 2003, Numar persoane, 15452
Total, Urban, Municipiul Bucuresti, Anul 2004, Numar persoane, 16912
Total, Urban, Municipiul Bucuresti, Anul 2005, Numar persoane, 18539
Total, Urban, Municipiul Bucuresti, Anul 2006, Numar persoane, 19355
Total, Urban, Municipiul Bucuresti, Anul 2007, Numar persoane, 19232
Total, Urban, Municipiul Bucuresti, Anul 2008, Numar persoane, 20590
Total, Urban, Municipiul Bucuresti, Anul 2009, Numar persoane, 21447
Total, Urban, Municipiul Bucuresti, Anul 2010, Numar persoane, 21147
Total, Urban, Municipiul Bucuresti, Anul 2011, Numar persoane, 19103
Total, Urban, Municipiul Bucuresti, Anul 2012, Numar persoane, 19221
Total, Urban, Municipiul Bucuresti, Anul 2013, Numar persoane, 20201
Total, Urban, Municipiul Bucuresti, Anul 2014, Numar persoane, 19433
Total, Urban, Municipiul Bucuresti, Anul 2015, Numar persoane, 19670
Total, Urban, Municipiul Bucuresti, Anul 2016, Numar persoane, 20207
Total, Urban, Municipiul Bucuresti, Anul 2017, Numar persoane, 22240
Total, Urban, Municipiul Bucuresti, Anul 2018, Numar persoane, 23480
Total, Urban, Municipiul Bucuresti, Anul 2019, Numar persoane, 24007
Total, Urban, Municipiul Bucuresti, Anul 2020, Numar persoane, 22520
Total, Urban, Municipiul Bucuresti, Anul 2021, Numar persoane, 21002
Total, Urban, Municipiul Bucuresti, Anul 2022, Numar persoane, 17344
Total, Urban, Dolj, Anul 1990, Numar persoane, 4438
Total, Urban, Dolj, Anul 1991, Numar persoane, 4216
Total, Urban, Dolj, Anul 1992, Numar persoane, 3927
Total, Urban, Dolj, Anul 1993, Numar persoane, 3640
Total, Urban, Dolj, Anul 1994, Numar persoane, 3737
Total, Urban, Dolj, Anul 1995, Numar persoane, 3514
Total, Urban, Dolj, Anul 1996, Numar persoane, 3381
Total, Urban, Dolj, Anul 1997, Numar persoane, 3490
Total, Urban, Dolj, Anul 1998, Numar persoane, 3543
Total, Urban, Dolj, Anul 1999, Numar persoane, 3485
Total, Urban, Dolj, Anul 2000, Numar persoane, 3574
Total, Urban, Dolj, Anul 2001, Numar persoane, 3267
Total, Urban, Dolj, Anul 2002, Numar persoane, 2957
Total, Urban, Dolj, Anul 2003, Numar persoane, 3176
Total, Urban, Dolj, Anul 2004, Numar persoane, 3270
Total, Urban, Dolj, Anul 2005, Numar persoane, 3569
Total, Urban, Dolj, Anul 2006, Numar persoane, 3476
Total, Urban, Dolj, Anul 2007, Numar persoane, 3575
Total, Urban, Dolj, Anul 2008, Numar persoane, 3604
Total, Urban, Dolj, Anul 2009, Numar persoane, 3630
Total, Urban, Dolj, Anul 2010, Numar persoane, 3563
Total, Urban, Dolj, Anul 2011, Numar persoane, 3309
Total, Urban, Dolj, Anul 2012, Numar persoane, 3287
Total, Urban, Dolj, Anul 2013, Numar persoane, 3554
Total, Urban, Dolj, Anul 2014, Numar persoane, 3319
Total, Urban, Dolj, Anul 2015, Numar persoane, 3504
Total, Urban, Dolj, Anul 2016, Numar persoane, 3418
Total, Urban, Dolj, Anul 2017, Numar persoane, 3501
Total, Urban, Dolj, Anul 2018, Numar persoane, 3485
Total, Urban, Dolj, Anul 2019, Numar persoane, 3523
Total, Urban, Dolj, Anul 2020, Numar persoane, 3147
Total, Urban, Dolj, Anul 2021, Numar persoane, 3009
Total, Urban, Dolj, Anul 2022, Numar persoane, 2532
Total, Urban, Gorj, Anul 1990, Numar persoane, 2285
Total, Urban, Gorj, Anul 1991, Numar persoane, 2011
Total, Urban, Gorj, Anul 1992, Numar persoane, 1937
Total, Urban, Gorj, Anul 1993, Numar persoane, 1877
Total, Urban, Gorj, Anul 1994, Numar persoane, 1812
Total, Urban, Gorj, Anul 1995, Numar persoane, 1825
Total, Urban, Gorj, Anul 1996, Numar persoane, 1769
Total, Urban, Gorj, Anul 1997, Numar persoane, 1701
Total, Urban, Gorj, Anul 1998, Numar persoane, 1743
Total, Urban, Gorj, Anul 1999, Numar persoane, 1682
Total, Urban, Gorj, Anul 2000, Numar persoane, 1616
Total, Urban, Gorj, Anul 2001, Numar persoane, 1503
Total, Urban, Gorj, Anul 2002, Numar persoane, 1564
Total, Urban, Gorj, Anul 2003, Numar persoane, 1551
Total, Urban, Gorj, Anul 2004, Numar persoane, 1676
Total, Urban, Gorj, Anul 2005, Numar persoane, 1738
Total, Urban, Gorj, Anul 2006, Numar persoane, 1605
Total, Urban, Gorj, Anul 2007, Numar persoane, 1672
Total, Urban, Gorj, Anul 2008, Numar persoane, 1649
Total, Urban, Gorj, Anul 2009, Numar persoane, 1555
Total, Urban, Gorj, Anul 2010, Numar persoane, 1627
Total, Urban, Gorj, Anul 2011, Numar persoane, 1452
Total, Urban, Gorj, Anul 2012, Numar persoane, 1481
Total, Urban, Gorj, Anul 2013, Numar persoane, 1496
Total, Urban, Gorj, Anul 2014, Numar persoane, 1374
Total, Urban, Gorj, Anul 2015, Numar persoane, 1433
Total, Urban, Gorj, Anul 2016, Numar persoane, 1531
Total, Urban, Gorj, Anul 2017, Numar persoane, 1443
Total, Urban, Gorj, Anul 2018, Numar persoane, 1454
Total, Urban, Gorj, Anul 2019, Numar persoane, 1373
Total, Urban, Gorj, Anul 2020, Numar persoane, 1250
Total, Urban, Gorj, Anul 2021, Numar persoane, 1276
Total, Urban, Gorj, Anul 2022, Numar persoane, 1083
Total, Urban, Mehedinti, Anul 1990, Numar persoane, 2120
Total, Urban, Mehedinti, Anul 1991, Numar persoane, 1881
Total, Urban, Mehedinti, Anul 1992, Numar persoane, 1849
Total, Urban, Mehedinti, Anul 1993, Numar persoane, 1589
Total, Urban, Mehedinti, Anul 1994, Numar persoane, 1556
Total, Urban, Mehedinti, Anul 1995, Numar persoane, 1443
Total, Urban, Mehedinti, Anul 1996, Numar persoane, 1457
Total, Urban, Mehedinti, Anul 1997, Numar persoane, 1335
Total, Urban, Mehedinti, Anul 1998, Numar persoane, 1422
Total, Urban, Mehedinti, Anul 1999, Numar persoane, 1376
Total, Urban, Mehedinti, Anul 2000, Numar persoane, 1300
Total, Urban, Mehedinti, Anul 2001, Numar persoane, 1271
Total, Urban, Mehedinti, Anul 2002, Numar persoane, 1226
Total, Urban, Mehedinti, Anul 2003, Numar persoane, 1231
Total, Urban, Mehedinti, Anul 2004, Numar persoane, 1298
Total, Urban, Mehedinti, Anul 2005, Numar persoane, 1315
Total, Urban, Mehedinti, Anul 2006, Numar persoane, 1261
Total, Urban, Mehedinti, Anul 2007, Numar persoane, 1156
Total, Urban, Mehedinti, Anul 2008, Numar persoane, 1292
Total, Urban, Mehedinti, Anul 2009, Numar persoane, 1402
Total, Urban, Mehedinti, Anul 2010, Numar persoane, 1245
Total, Urban, Mehedinti, Anul 2011, Numar persoane, 1208
Total, Urban, Mehedinti, Anul 2012, Numar persoane, 1195
Total, Urban, Mehedinti, Anul 2013, Numar persoane, 1199
Total, Urban, Mehedinti, Anul 2014, Numar persoane, 1077
Total, Urban, Mehedinti, Anul 2015, Numar persoane, 1084
Total, Urban, Mehedinti, Anul 2016, Numar persoane, 1212
Total, Urban, Mehedinti, Anul 2017, Numar persoane, 1151
Total, Urban, Mehedinti, Anul 2018, Numar persoane, 1175
Total, Urban, Mehedinti, Anul 2019, Numar persoane, 1080
Total, Urban, Mehedinti, Anul 2020, Numar persoane, 988
Total, Urban, Mehedinti, Anul 2021, Numar persoane, 980
Total, Urban, Mehedinti, Anul 2022, Numar persoane, 800
Total, Urban, Olt, Anul 1990, Numar persoane, 2899
Total, Urban, Olt, Anul 1991, Numar persoane, 2472
Total, Urban, Olt, Anul 1992, Numar persoane, 2287
Total, Urban, Olt, Anul 1993, Numar persoane, 2212
Total, Urban, Olt, Anul 1994, Numar persoane, 2197
Total, Urban, Olt, Anul 1995, Numar persoane, 2098
Total, Urban, Olt, Anul 1996, Numar persoane, 2125
Total, Urban, Olt, Anul 1997, Numar persoane, 2014
Total, Urban, Olt, Anul 1998, Numar persoane, 2107
Total, Urban, Olt, Anul 1999, Numar persoane, 1979
Total, Urban, Olt, Anul 2000, Numar persoane, 1979
Total, Urban, Olt, Anul 2001, Numar persoane, 1841
Total, Urban, Olt, Anul 2002, Numar persoane, 1729
Total, Urban, Olt, Anul 2003, Numar persoane, 1825
Total, Urban, Olt, Anul 2004, Numar persoane, 1741
Total, Urban, Olt, Anul 2005, Numar persoane, 1871
Total, Urban, Olt, Anul 2006, Numar persoane, 1860
Total, Urban, Olt, Anul 2007, Numar persoane, 1711
Total, Urban, Olt, Anul 2008, Numar persoane, 1865
Total, Urban, Olt, Anul 2009, Numar persoane, 1891
Total, Urban, Olt, Anul 2010, Numar persoane, 1764
Total, Urban, Olt, Anul 2011, Numar persoane, 1644
Total, Urban, Olt, Anul 2012, Numar persoane, 1627
Total, Urban, Olt, Anul 2013, Numar persoane, 1707
Total, Urban, Olt, Anul 2014, Numar persoane, 1547
Total, Urban, Olt, Anul 2015, Numar persoane, 1612
Total, Urban, Olt, Anul 2016, Numar persoane, 1667
Total, Urban, Olt, Anul 2017, Numar persoane, 1674
Total, Urban, Olt, Anul 2018, Numar persoane, 1752
Total, Urban, Olt, Anul 2019, Numar persoane, 1728
Total, Urban, Olt, Anul 2020, Numar persoane, 1573
Total, Urban, Olt, Anul 2021, Numar persoane, 1456
Total, Urban, Olt, Anul 2022, Numar persoane, 1241
Total, Urban, Valcea, Anul 1990, Numar persoane, 2470
Total, Urban, Valcea, Anul 1991, Numar persoane, 2177
Total, Urban, Valcea, Anul 1992, Numar persoane, 1822
Total, Urban, Valcea, Anul 1993, Numar persoane, 1726
Total, Urban, Valcea, Anul 1994, Numar persoane, 1722
Total, Urban, Valcea, Anul 1995, Numar persoane, 1670
Total, Urban, Valcea, Anul 1996, Numar persoane, 1634
Total, Urban, Valcea, Anul 1997, Numar persoane, 1685
Total, Urban, Valcea, Anul 1998, Numar persoane, 1621
Total, Urban, Valcea, Anul 1999, Numar persoane, 1582
Total, Urban, Valcea, Anul 2000, Numar persoane, 1628
Total, Urban, Valcea, Anul 2001, Numar persoane, 1552
Total, Urban, Valcea, Anul 2002, Numar persoane, 1704
Total, Urban, Valcea, Anul 2003, Numar persoane, 1742
Total, Urban, Valcea, Anul 2004, Numar persoane, 1833
Total, Urban, Valcea, Anul 2005, Numar persoane, 1856
Total, Urban, Valcea, Anul 2006, Numar persoane, 1832
Total, Urban, Valcea, Anul 2007, Numar persoane, 1809
Total, Urban, Valcea, Anul 2008, Numar persoane, 1732
Total, Urban, Valcea, Anul 2009, Numar persoane, 1753
Total, Urban, Valcea, Anul 2010, Numar persoane, 1769
Total, Urban, Valcea, Anul 2011, Numar persoane, 1528
Total, Urban, Valcea, Anul 2012, Numar persoane, 1592
Total, Urban, Valcea, Anul 2013, Numar persoane, 1712
Total, Urban, Valcea, Anul 2014, Numar persoane, 1559
Total, Urban, Valcea, Anul 2015, Numar persoane, 1530
Total, Urban, Valcea, Anul 2016, Numar persoane, 1507
Total, Urban, Valcea, Anul 2017, Numar persoane, 1566
Total, Urban, Valcea, Anul 2018, Numar persoane, 1662
Total, Urban, Valcea, Anul 2019, Numar persoane, 1579
Total, Urban, Valcea, Anul 2020, Numar persoane, 1378
Total, Urban, Valcea, Anul 2021, Numar persoane, 1339
Total, Urban, Valcea, Anul 2022, Numar persoane, 1206
Total, Urban, Regiunea VEST, Anul 1990, Numar persoane, 16462
Total, Urban, Regiunea VEST, Anul 1991, Numar persoane, 15001
Total, Urban, Regiunea VEST, Anul 1992, Numar persoane, 13629
Total, Urban, Regiunea VEST, Anul 1993, Numar persoane, 13089
Total, Urban, Regiunea VEST, Anul 1994, Numar persoane, 12636
Total, Urban, Regiunea VEST, Anul 1995, Numar persoane, 12010
Total, Urban, Regiunea VEST, Anul 1996, Numar persoane, 11965
Total, Urban, Regiunea VEST, Anul 1997, Numar persoane, 12199
Total, Urban, Regiunea VEST, Anul 1998, Numar persoane, 11862
Total, Urban, Regiunea VEST, Anul 1999, Numar persoane, 11675
Total, Urban, Regiunea VEST, Anul 2000, Numar persoane, 11119
Total, Urban, Regiunea VEST, Anul 2001, Numar persoane, 10578
Total, Urban, Regiunea VEST, Anul 2002, Numar persoane, 9996
Total, Urban, Regiunea VEST, Anul 2003, Numar persoane, 10217
Total, Urban, Regiunea VEST, Anul 2004, Numar persoane, 11422
Total, Urban, Regiunea VEST, Anul 2005, Numar persoane, 11638
Total, Urban, Regiunea VEST, Anul 2006, Numar persoane, 11677
Total, Urban, Regiunea VEST, Anul 2007, Numar persoane, 11320
Total, Urban, Regiunea VEST, Anul 2008, Numar persoane, 11910
Total, Urban, Regiunea VEST, Anul 2009, Numar persoane, 11713
Total, Urban, Regiunea VEST, Anul 2010, Numar persoane, 11375
Total, Urban, Regiunea VEST, Anul 2011, Numar persoane, 10193
Total, Urban, Regiunea VEST, Anul 2012, Numar persoane, 10519
Total, Urban, Regiunea VEST, Anul 2013, Numar persoane, 11092
Total, Urban, Regiunea VEST, Anul 2014, Numar persoane, 10738
Total, Urban, Regiunea VEST, Anul 2015, Numar persoane, 11187
Total, Urban, Regiunea VEST, Anul 2016, Numar persoane, 11349
Total, Urban, Regiunea VEST, Anul 2017, Numar persoane, 11400
Total, Urban, Regiunea VEST, Anul 2018, Numar persoane, 11256
Total, Urban, Regiunea VEST, Anul 2019, Numar persoane, 11034
Total, Urban, Regiunea VEST, Anul 2020, Numar persoane, 10011
Total, Urban, Regiunea VEST, Anul 2021, Numar persoane, 9610
Total, Urban, Regiunea VEST, Anul 2022, Numar persoane, 8117
Total, Urban, Arad, Anul 1990, Numar persoane, 2853
Total, Urban, Arad, Anul 1991, Numar persoane, 2730
Total, Urban, Arad, Anul 1992, Numar persoane, 2525
Total, Urban, Arad, Anul 1993, Numar persoane, 2402
Total, Urban, Arad, Anul 1994, Numar persoane, 2327
Total, Urban, Arad, Anul 1995, Numar persoane, 2155
Total, Urban, Arad, Anul 1996, Numar persoane, 2119
Total, Urban, Arad, Anul 1997, Numar persoane, 2215
Total, Urban, Arad, Anul 1998, Numar persoane, 2232
Total, Urban, Arad, Anul 1999, Numar persoane, 2258
Total, Urban, Arad, Anul 2000, Numar persoane, 2151
Total, Urban, Arad, Anul 2001, Numar persoane, 2026
Total, Urban, Arad, Anul 2002, Numar persoane, 1899
Total, Urban, Arad, Anul 2003, Numar persoane, 1925
Total, Urban, Arad, Anul 2004, Numar persoane, 2355
Total, Urban, Arad, Anul 2005, Numar persoane, 2436
Total, Urban, Arad, Anul 2006, Numar persoane, 2450
Total, Urban, Arad, Anul 2007, Numar persoane, 2427
Total, Urban, Arad, Anul 2008, Numar persoane, 2512
Total, Urban, Arad, Anul 2009, Numar persoane, 2555
Total, Urban, Arad, Anul 2010, Numar persoane, 2385
Total, Urban, Arad, Anul 2011, Numar persoane, 2204
Total, Urban, Arad, Anul 2012, Numar persoane, 2319
Total, Urban, Arad, Anul 2013, Numar persoane, 2444
Total, Urban, Arad, Anul 2014, Numar persoane, 2295
Total, Urban, Arad, Anul 2015, Numar persoane, 2423
Total, Urban, Arad, Anul 2016, Numar persoane, 2420
Total, Urban, Arad, Anul 2017, Numar persoane, 2570
Total, Urban, Arad, Anul 2018, Numar persoane, 2483
Total, Urban, Arad, Anul 2019, Numar persoane, 2526
Total, Urban, Arad, Anul 2020, Numar persoane, 2314
Total, Urban, Arad, Anul 2021, Numar persoane, 2199
Total, Urban, Arad, Anul 2022, Numar persoane, 1922
Total, Urban, Caras-Severin, Anul 1990, Numar persoane, 2928
Total, Urban, Caras-Severin, Anul 1991, Numar persoane, 2570
Total, Urban, Caras-Severin, Anul 1992, Numar persoane, 2162
Total, Urban, Caras-Severin, Anul 1993, Numar persoane, 2144
Total, Urban, Caras-Severin, Anul 1994, Numar persoane, 2093
Total, Urban, Caras-Severin, Anul 1995, Numar persoane, 2006
Total, Urban, Caras-Severin, Anul 1996, Numar persoane, 1972
Total, Urban, Caras-Severin, Anul 1997, Numar persoane, 1980
Total, Urban, Caras-Severin, Anul 1998, Numar persoane, 2008
Total, Urban, Caras-Severin, Anul 1999, Numar persoane, 1869
Total, Urban, Caras-Severin, Anul 2000, Numar persoane, 1883
Total, Urban, Caras-Severin, Anul 2001, Numar persoane, 1722
Total, Urban, Caras-Severin, Anul 2002, Numar persoane, 1730
Total, Urban, Caras-Severin, Anul 2003, Numar persoane, 1745
Total, Urban, Caras-Severin, Anul 2004, Numar persoane, 1902
Total, Urban, Caras-Severin, Anul 2005, Numar persoane, 1854
Total, Urban, Caras-Severin, Anul 2006, Numar persoane, 1904
Total, Urban, Caras-Severin, Anul 2007, Numar persoane, 1696
Total, Urban, Caras-Severin, Anul 2008, Numar persoane, 1742
Total, Urban, Caras-Severin, Anul 2009, Numar persoane, 1669
Total, Urban, Caras-Severin, Anul 2010, Numar persoane, 1667
Total, Urban, Caras-Severin, Anul 2011, Numar persoane, 1449
Total, Urban, Caras-Severin, Anul 2012, Numar persoane, 1487
Total, Urban, Caras-Severin, Anul 2013, Numar persoane, 1488
Total, Urban, Caras-Severin, Anul 2014, Numar persoane, 1399
Total, Urban, Caras-Severin, Anul 2015, Numar persoane, 1383
Total, Urban, Caras-Severin, Anul 2016, Numar persoane, 1466
Total, Urban, Caras-Severin, Anul 2017, Numar persoane, 1466
Total, Urban, Caras-Severin, Anul 2018, Numar persoane, 1502
Total, Urban, Caras-Severin, Anul 2019, Numar persoane, 1448
Total, Urban, Caras-Severin, Anul 2020, Numar persoane, 1289
Total, Urban, Caras-Severin, Anul 2021, Numar persoane, 1221
Total, Urban, Caras-Severin, Anul 2022, Numar persoane, 985
Total, Urban, Hunedoara, Anul 1990, Numar persoane, 6106
Total, Urban, Hunedoara, Anul 1991, Numar persoane, 5512
Total, Urban, Hunedoara, Anul 1992, Numar persoane, 5153
Total, Urban, Hunedoara, Anul 1993, Numar persoane, 4822
Total, Urban, Hunedoara, Anul 1994, Numar persoane, 4592
Total, Urban, Hunedoara, Anul 1995, Numar persoane, 4319
Total, Urban, Hunedoara, Anul 1996, Numar persoane, 4409
Total, Urban, Hunedoara, Anul 1997, Numar persoane, 4444
